材料,酶活,底物,pH,温度(℃),指标,等级,tier,文献数,倍数,疑因标签,逐条取值(DOI=值),人工复核结论,复核备注
pdpt,peroxidase,TMB,4.0,25.0,vmax_um_s,严重,3,2,13.92,跨文献,10.1002/adfm.201801484=0.051 | 10.1016/j.sintl.2020.100031=0.6 | 10.1016/j.sintl.2020.100031=0.32 | 10.1016/j.sintl.2020.100031=0.71,,
fe3o4,peroxidase,H2O2,3.6,37.0,km_mm,严重,3,2,5.07,跨文献,10.1016/j.apsusc.2023.157185=1.281 | 10.1038/s41929-021-00609-x=6.49,,
pt,peroxidase,TMB,4.0,22.0,km_mm,严重,3,3,17.23,跨文献,10.1021/acs.langmuir.7b03430=0.052 | 10.1007/s11434-016 193-9=0.047 | 10.1007/s11434-016 193-9=0.047 | 10.1002/cnma.201600268=0.42 | 10.1002/cnma.201600268=0.52 | 10.1002/cnma.201600268=0.66 | 10.1002/cnma.201600268=0.71 | 10.1002/cnma.201600268=0.73 | 10.1002/cnma.201600268=0.81 | 10.1002/cnma.201600268=0.81,,
pd,peroxidase,TMB,4.0,20.0,vmax_um_s,严重,3,3,4.18,跨文献,10.1039/c5an01103e=0.091 | 10.1039/c5an01103e=0.315 | 10.1039/c5an01103e=0.224 | 10.1021/acsnano.5b03525=0.097 | 10.1007/s11434-016-1193-9=0.38,,
pt,peroxidase,TMB,4.0,22.0,vmax_um_s,严重,3,3,4.65,跨文献,10.1021/acs.langmuir.7b03430=0.164 | 10.1007/s11434-016 193-9=0.38 | 10.1007/s11434-016 193-9=0.38 | 10.1002/cnma.201600268=0.11 | 10.1002/cnma.201600268=0.24000000000000002 | 10.1002/cnma.201600268=0.386 | 10.1002/cnma.201600268=0.512 | 10.1002/cnma.201600268=0.33 | 10.1002/cnma.201600268=0.27599999999999997 | 10.1002/cnma.201600268=0.3,,
fes2,peroxidase,TMB,4.0,25.0,km_mm,严重,3,2,4.52,跨文献,10.1021/acs.jpcc.1c10325=1.08 | 10.1021/acsami.0c12593=4.88,,
ceo2,peroxidase,TMB,4.0,25.0,vmax_um_s,严重,3,2,20.5,跨文献,10.1039/c6nr02730j=0.063 | 10.1038/srep35344=0.082 | 10.1038/srep35344=0.004,,
agvo3,peroxidase,H2O2,4.0,25.0,km_mm,严重,3,2,4.07,跨文献,10.1002/jccs.201700031=5.291 | 10.1007/s00604-017-2562-z=1.3,,
lanio3,peroxidase,H2O2,4.5,37.0,km_mm,严重,3,2,4.0,跨文献,10.1038/s41467-019-08657-5=359.92 | 10.7150/thno.19257=90.05,,
mil53fe,peroxidase,TMB,4.0,40.0,km_mm,严重,3,2,3.86,跨文献,10.1002/chem.201303051=1.08 | 10.1039/c4ra15840g=0.28,,
fe2o3,peroxidase,TMB,3.55,25.0,km_mm,严重,3,4,5.35,跨文献,10.1039/c8tb01132j=0.298 | 10.1039/c9tb00989b=0.0997 | 10.1039/c9tb00989b=0.5304 | 10.1016/j.colsurfa.2016.07.037=0.439 | 10.1016/j.colsurfa.2016.07.037=0.439 | 10.1021/acsanm.0c02807=0.0992,,
